On_x,On_y,Off_x,Off_y
0.336993,4.48194,0.286066,0.074738
1.29424,4.60856,0.600481,0.291221
1.52973,4.50159,0.863353,0.188134
1.69109,4.50596,1.02314,0.306684
1.94403,4.5649,1.42002,0.327301
2.26893,4.46229,1.78083,0.265449
2.48044,4.5256,2.1674,0.152053
2.42156,4.24835,2.4045,0.260295
2.1381,4.08244,2.45605,0.409771
1.78049,3.96892,2.1004,0.404616
1.50357,4.04532,1.85814,0.512858
1.09581,3.89687,1.6262,0.69326
0.87776,3.93399,1.35302,0.646871
0.568127,3.9318,0.961286,0.61079
0.188718,4.16976,0.445851,0.667488
0.173455,3.88814,0.394308,0.950977
0.596474,3.71131,0.780884,1.01798
1.53191,3.648,1.06437,0.904588
2.04433,3.66983,1.70867,0.940668
2.29727,3.83356,1.90453,0.775729
2.5066,3.64145,2.25503,0.657179
2.49352,3.44497,2.20864,0.940668
2.20133,3.47772,2.26018,1.0953
1.86335,3.45371,1.97154,1.10561
1.7456,3.26814,1.51796,1.06953
1.2877,3.3773,1.00767,1.04891
0.589932,3.46681,0.548938,1.24477
0.23669,3.47554,0.0231946,1.32209
0.326091,3.11096,0.425234,1.47672
0.66625,3.0542,1.04891,1.28086
0.845052,3.23103,1.43033,1.31178
1.20048,3.08258,1.59012,1.48187
1.59079,3.04547,1.90453,1.40971
1.98764,3.08258,2.19833,1.32724
2.28419,3.09786,2.48182,1.17777
2.41284,3.22012,2.47666,1.46641
1.36401,2.87737,2.05401,1.54888
1.20048,2.72019,1.28086,1.63651
1.59079,2.70054,1.05406,1.5695
1.83064,2.7573,0.744803,1.75506
2.07704,2.74202,0.368536,1.70867
2.34306,2.54772,0.0335033,1.68805
1.88298,2.33815,0.126282,1.99216
1.50575,2.29449,0.353073,2.14163
1.14596,2.38181,0.677797,1.88391
0.930092,2.11111,0.703568,2.2241
0.650987,2.1504,1.06437,2.12101
0.343535,2.28794,1.4561,1.89422
0.400228,1.79237,1.76536,1.73444
1.40544,1.9823,2.01793,1.91999
2.29945,2.13512,2.34781,1.78083
2.12501,2.04998,2.39935,1.987
2.16644,1.81421,2.24472,1.96638
1.86989,1.82949,2.34781,2.22926
2.34088,1.53259,2.43027,2.37873
2.45863,1.12217,2.02824,2.52821
2.19915,1.22695,1.78598,2.00762
2.03779,1.58716,1.81691,2.38904
1.96802,1.4016,1.61073,2.2241
1.52537,1.57843,1.43549,2.49728
1.12852,1.42343,0.899434,2.47666
0.489629,1.54787,0.316992,2.46636
0.742568,1.38632,0.177825,2.8787
1.02385,1.16583,0.409771,2.77046
1.56026,1.09597,0.894279,2.68799
2.07922,0.999912,1.10045,2.73438
2.38231,0.65935,1.5695,2.67253
2.08794,0.729209,1.95607,2.73954
1.80448,0.788152,2.19317,2.755
1.56898,0.681181,2.46636,2.72407
1.50575,0.886391,0.613918,2.98653
1.06964,0.87111,0.574669,3.32272
0.773095,0.960616,1.01077,3.22667
0.404589,1.06759,1.32476,3.10878
0.164733,0.868927,1.67147,2.873
0.692417,0.59604,1.94403,3.03892
0.0448047,0.534914,2.18389,3.03674
0.326091,0.185619,2.3954,3.27033
0.677153,0.449773,2.2384,3.45807
0.714222,0.272943,2.00726,3.31399
1.31386,0.303506,1.80448,3.5061
1.51447,0.445407,1.51011,3.38603
1.60169,0.209633,1.24191,3.47772
1.78703,0.135408,0.79272,3.47335
1.99418,0.288224,0.0796929,3.48864
2.16862,0.502167,0.32173,3.73969
2.46953,0.320971,0.439477,3.88378
2.42592,0.141957,0.731666,3.86631
,,1.39236,3.6742
,,1.41417,3.88159
,,1.78267,3.81828
,,2.11847,3.77462
,,2.37795,3.65673
,,2.45645,3.89687
,,1.9702,3.99948
,,1.72816,4.0737
,,1.43597,4.09335
,,0.969341,4.18941
,,0.528878,4.19814
,,0.219246,4.60201
,,0.714222,4.30293
,,1.09145,4.32258
,,1.38146,4.51906
,,1.78703,4.39462
,,1.9026,4.56053
,,2.01817,4.32476
,,2.28201,4.20906
